Site,Range,total.tip,BIO1,BIO12,forest.type,dist.closest.forest
A1,Flagstaff,267,5.565355803,588.3400864,pine,13.75629271
A2,Flagstaff,564,5.792731957,578.7148608,pine,13.90716685
A3,Flagstaff,314,5.635360343,587.5828426,pine,14.48761276
B1,Bradshaw,535,9.217311274,623.7916045,pine-Doug fir,42.10864773
B2,Bradshaw,754,9.21611338,628.5602182,pine-Doug fir,42.58658841
B3,Bradshaw,464,9.237270651,620.072076,pine-Doug fir,41.69292688
Butterfly trail,MtLemmon,1356,10.61760631,734.0162573,pine-Doug fir,30.13963311
C1,Chiricahuas,478,9.442872175,644.967728,pine,95.29621786
C2,Chiricahuas,657,9.300589515,655.7959168,pine,95.53016385
C3,Chiricahuas,1301,9.184048078,665.1683584,pine-Doug fir,95.67591477
H1,Huachuas,108,12.58816371,649.8687808,pine-Doug fir,54.78664003
H2,Huachuas,737,12.51848908,654.255312,pine-Doug fir,54.97644841
H3,Huachuas,575,12.37364821,663.2688106,pine-Doug fir,55.21583786
H4,Hualapai,611,10.12626631,448.0310528,pine,89.11687861
H5,Hualapai,83,9.85992612,464.0723917,pine-oak,89.54804584
H6,Hualapai,79,10.58832322,424.7353805,pine-oak,88.33973806
M1,MogollonRim,2670,8.138696004,652.3248944,pine,0
M2,MogollonRim,737,8.066597197,654.5696466,pine,0
M3,MogollonRim,894,8.074092669,655.5913189,pine,0
M4,MogollonRim,755,11.20775658,654.4185082,pine-oak,0
M5,MogollonRim,398,10.99534131,662.8252,pine-Doug fir,0
M6,MogollonRim,376,11.21597217,650.1569856,pine-Doug fir,0
M7,MogollonRim,663,8.999242121,559.613088,pine,0
M8,MogollonRim,469,9.051941924,557.1308467,pine,0
M9,MogollonRim,388,9.015847934,556.2820352,pine,0
N1,Mingus,140,8.64789879,661.4616486,pine,42.10864773
N2,Mingus,411,8.846722667,660.1437411,pine,41.61580352
N3,Mingus,596,8.633623815,662.3543784,pine,41.56598677
P1,Pinaleno,1887,9.212201894,689.0031923,pine-Doug fir,44.20454408
P2,Pinaleno,569,9.212364955,707.127759,pine-Doug fir,44.89789319
P3,Pinaleno,623,9.068933478,712.7599997,pine,44.27102289
Sunset Trail,MtLemmon,579,10.30949642,751.2663213,pine,30.16750048
Upper Solders Camp Rd.,MtLemmon,617,10.49815186,741.6707738,pine-Doug fir,29.71175494