Tree,Site,Range,total.tip,BIO1,BIO12,forest,dist.closest.forest
A11,A1,Flagstaff,4,5.565355803,588.3400864,pine,13.75629271
A12,A1,Flagstaff,3,5.565355803,588.3400864,pine,13.75629271
A13,A1,Flagstaff,94,5.565355803,588.3400864,pine,13.75629271
A15,A1,Flagstaff,166,5.565355803,588.3400864,pine,13.75629271
A21,A2,Flagstaff,47,5.792731957,578.7148608,pine,13.90716685
A22,A2,Flagstaff,294,5.792731957,578.7148608,pine,13.90716685
A23,A2,Flagstaff,92,5.792731957,578.7148608,pine,13.90716685
A24,A2,Flagstaff,101,5.792731957,578.7148608,pine,13.90716685
A25,A2,Flagstaff,30,5.792731957,578.7148608,pine,13.90716685
A31,A3,Flagstaff,52,5.635360343,587.5828426,pine,14.48761276
A32,A3,Flagstaff,11,5.635360343,587.5828426,pine,14.48761276
A33,A3,Flagstaff,7,5.635360343,587.5828426,pine,14.48761276
A34,A3,Flagstaff,86,5.635360343,587.5828426,pine,14.48761276
A35,A3,Flagstaff,158,5.635360343,587.5828426,pine,14.48761276
B11,B1,Bradshaw,30,9.217311274,623.7916045,pine-Doug fir,42.10864773
B12,B1,Bradshaw,50,9.217311274,623.7916045,pine-Doug fir,42.10864773
B13,B1,Bradshaw,122,9.217311274,623.7916045,pine-Doug fir,42.10864773
B14,B1,Bradshaw,237,9.217311274,623.7916045,pine-Doug fir,42.10864773
B15,B1,Bradshaw,96,9.217311274,623.7916045,pine-Doug fir,42.10864773
B21,B2,Bradshaw,90,9.21611338,628.5602182,pine-Doug fir,42.58658841
B22,B2,Bradshaw,128,9.21611338,628.5602182,pine-Doug fir,42.58658841
B23,B2,Bradshaw,58,9.21611338,628.5602182,pine-Doug fir,42.58658841
B24,B2,Bradshaw,120,9.21611338,628.5602182,pine-Doug fir,42.58658841
B25,B2,Bradshaw,358,9.21611338,628.5602182,pine-Doug fir,42.58658841
B31,B3,Bradshaw,31,9.237270651,620.072076,pine-Doug fir,41.69292688
B32,B3,Bradshaw,24,9.237270651,620.072076,pine-Doug fir,41.69292688
B33,B3,Bradshaw,81,9.237270651,620.072076,pine-Doug fir,41.69292688
B34,B3,Bradshaw,279,9.237270651,620.072076,pine-Doug fir,41.69292688
B35,B3,Bradshaw,49,9.237270651,620.072076,pine-Doug fir,41.69292688
C12,C1,Chiricahuas,43,9.442872175,644.967728,pine,95.29621786
C13,C1,Chiricahuas,202,9.442872175,644.967728,pine,95.29621786
C14,C1,Chiricahuas,6,9.442872175,644.967728,pine,95.29621786
C15,C1,Chiricahuas,227,9.442872175,644.967728,pine,95.29621786
C21,C2,Chiricahuas,336,9.300589515,655.7959168,pine,95.53016385
C22,C2,Chiricahuas,101,9.300589515,655.7959168,pine,95.53016385
C23,C2,Chiricahuas,5,9.300589515,655.7959168,pine,95.53016385
C24,C2,Chiricahuas,156,9.300589515,655.7959168,pine,95.53016385
C25,C2,Chiricahuas,59,9.300589515,655.7959168,pine,95.53016385
C31,C3,Chiricahuas,271,9.184048078,665.1683584,pine-Doug fir,95.67591477
C32,C3,Chiricahuas,313,9.184048078,665.1683584,pine-Doug fir,95.67591477
C33,C3,Chiricahuas,157,9.184048078,665.1683584,pine-Doug fir,95.67591477
C34,C3,Chiricahuas,192,9.184048078,665.1683584,pine-Doug fir,95.67591477
C35,C3,Chiricahuas,368,9.184048078,665.1683584,pine-Doug fir,95.67591477
H12,H1,Huachuas,48,12.58816371,649.8687808,pine-Doug fir,54.78664003
H13,H1,Huachuas,52,12.58816371,649.8687808,pine-Doug fir,54.78664003
H14,H1,Huachuas,6,12.58816371,649.8687808,pine-Doug fir,54.78664003
H15,H1,Huachuas,2,12.58816371,649.8687808,pine-Doug fir,54.78664003
H21,H2,Huachuas,16,12.51848908,654.255312,pine-Doug fir,54.97644841
H22,H2,Huachuas,173,12.51848908,654.255312,pine-Doug fir,54.97644841
H23,H2,Huachuas,361,12.51848908,654.255312,pine-Doug fir,54.97644841
H24,H2,Huachuas,24,12.51848908,654.255312,pine-Doug fir,54.97644841
H25,H2,Huachuas,163,12.51848908,654.255312,pine-Doug fir,54.97644841
H31,H3,Huachuas,178,12.37364821,663.2688106,pine-Doug fir,55.21583786
H32,H3,Huachuas,281,12.37364821,663.2688106,pine-Doug fir,55.21583786
H33,H3,Huachuas,81,12.37364821,663.2688106,pine-Doug fir,55.21583786
H34,H3,Huachuas,35,12.37364821,663.2688106,pine-Doug fir,55.21583786
H41,H4,Hualapai,193,10.12626631,448.0310528,pine,89.11687861
H42,H4,Hualapai,172,10.12626631,448.0310528,pine,89.11687861
H43,H4,Hualapai,168,10.12626631,448.0310528,pine,89.11687861
H44,H4,Hualapai,75,10.12626631,448.0310528,pine,89.11687861
H45,H4,Hualapai,3,10.12626631,448.0310528,pine,89.11687861
H51,H5,Hualapai,8,9.85992612,464.0723917,pine-oak,89.54804584
H52,H5,Hualapai,71,9.85992612,464.0723917,pine-oak,89.54804584
H53,H5,Hualapai,4,9.85992612,464.0723917,pine-oak,89.54804584
H61,H6,Hualapai,2,10.58832322,424.7353805,pine-oak,88.33973806
H62,H6,Hualapai,37,10.58832322,424.7353805,pine-oak,88.33973806
H63,H6,Hualapai,17,10.58832322,424.7353805,pine-oak,88.33973806
H64,H6,Hualapai,14,10.58832322,424.7353805,pine-oak,88.33973806
H65,H6,Hualapai,9,10.58832322,424.7353805,pine-oak,88.33973806
LB007,Butterfly trail,MtLemmon,312,10.61760631,734.0162573,pine-Doug fir,30.13963311
LB008,Butterfly trail,MtLemmon,256,10.61760631,734.0162573,pine-Doug fir,30.13963311
LB009,Butterfly trail,MtLemmon,233,10.61760631,734.0162573,pine-Doug fir,30.13963311
LB010,Butterfly trail,MtLemmon,141,10.61760631,734.0162573,pine-Doug fir,30.13963311
LB011,Butterfly trail,MtLemmon,140,10.61760631,734.0162573,pine-Doug fir,30.13963311
LB012,Butterfly trail,MtLemmon,152,10.61760631,734.0162573,pine-Doug fir,30.13963311
LB012 adjacent,Butterfly trail,MtLemmon,122,10.61760631,734.0162573,pine-Doug fir,30.13963311
LB031,Sunset Trail,MtLemmon,146,10.30949642,751.2663213,pine,30.16750048
LB032,Sunset Trail,MtLemmon,157,10.30949642,751.2663213,pine,30.16750048
LB033,Sunset Trail,MtLemmon,183,10.30949642,751.2663213,pine,30.16750048
LB034,Sunset Trail,MtLemmon,49,10.30949642,751.2663213,pine,30.16750048
LB035,Sunset Trail,MtLemmon,44,10.30949642,751.2663213,pine,30.16750048
LB043,Upper Solders Camp Rd.,MtLemmon,102,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB044,Upper Solders Camp Rd.,MtLemmon,121,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB045,Upper Solders Camp Rd.,MtLemmon,60,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB046,Upper Solders Camp Rd.,MtLemmon,134,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB047,Upper Solders Camp Rd.,MtLemmon,101,10.49815186,741.6707738,pine-Doug fir,29.71175494
LB048,Upper Solders Camp Rd.,MtLemmon,99,10.49815186,741.6707738,pine-Doug fir,29.71175494
M11,M1,MogollonRim,360,8.138696004,652.3248944,pine,0
M12,M1,MogollonRim,667,8.138696004,652.3248944,pine,0
M13,M1,MogollonRim,315,8.138696004,652.3248944,pine,0
M14,M1,MogollonRim,558,8.138696004,652.3248944,pine,0
M15,M1,MogollonRim,770,8.138696004,652.3248944,pine,0
M21,M2,MogollonRim,243,8.066597197,654.5696466,pine,0
M22,M2,MogollonRim,153,8.066597197,654.5696466,pine,0
M23,M2,MogollonRim,161,8.066597197,654.5696466,pine,0
M25,M2,MogollonRim,180,8.066597197,654.5696466,pine,0
M31,M3,MogollonRim,44,8.074092669,655.5913189,pine,0
M32,M3,MogollonRim,275,8.074092669,655.5913189,pine,0
M33,M3,MogollonRim,158,8.074092669,655.5913189,pine,0
M34,M3,MogollonRim,231,8.074092669,655.5913189,pine,0
M35,M3,MogollonRim,186,8.074092669,655.5913189,pine,0
M41,M4,MogollonRim,113,11.20775658,654.4185082,pine-oak,0
M42,M4,MogollonRim,59,11.20775658,654.4185082,pine-oak,0
M43,M4,MogollonRim,102,11.20775658,654.4185082,pine-oak,0
M44,M4,MogollonRim,380,11.20775658,654.4185082,pine-oak,0
M45,M4,MogollonRim,101,11.20775658,654.4185082,pine-oak,0
M51,M5,MogollonRim,65,10.99534131,662.8252,pine-Doug fir,0
M52,M5,MogollonRim,15,10.99534131,662.8252,pine-Doug fir,0
M53,M5,MogollonRim,50,10.99534131,662.8252,pine-Doug fir,0
M54,M5,MogollonRim,70,10.99534131,662.8252,pine-Doug fir,0
M55,M5,MogollonRim,198,10.99534131,662.8252,pine-Doug fir,0
M61,M6,MogollonRim,142,11.21597217,650.1569856,pine-Doug fir,0
M62,M6,MogollonRim,19,11.21597217,650.1569856,pine-Doug fir,0
M63,M6,MogollonRim,124,11.21597217,650.1569856,pine-Doug fir,0
M65,M6,MogollonRim,91,11.21597217,650.1569856,pine-Doug fir,0
M71,M7,MogollonRim,219,8.999242121,559.613088,pine,0
M72,M7,MogollonRim,27,8.999242121,559.613088,pine,0
M73,M7,MogollonRim,45,8.999242121,559.613088,pine,0
M74,M7,MogollonRim,76,8.999242121,559.613088,pine,0
M75,M7,MogollonRim,296,8.999242121,559.613088,pine,0
M81,M8,MogollonRim,13,9.051941924,557.1308467,pine,0
M82,M8,MogollonRim,100,9.051941924,557.1308467,pine,0
M83,M8,MogollonRim,92,9.051941924,557.1308467,pine,0
M84,M8,MogollonRim,126,9.051941924,557.1308467,pine,0
M85,M8,MogollonRim,138,9.051941924,557.1308467,pine,0
M91,M9,MogollonRim,84,9.015847934,556.2820352,pine,0
M92,M9,MogollonRim,144,9.015847934,556.2820352,pine,0
M93,M9,MogollonRim,70,9.015847934,556.2820352,pine,0
M94,M9,MogollonRim,83,9.015847934,556.2820352,pine,0
M95,M9,MogollonRim,7,9.015847934,556.2820352,pine,0
N13,N1,Mingus,13,8.64789879,661.4616486,pine,42.10864773
N14,N1,Mingus,85,8.64789879,661.4616486,pine,42.10864773
N15,N1,Mingus,42,8.64789879,661.4616486,pine,42.10864773
N21,N2,Mingus,15,8.846722667,660.1437411,pine,41.61580352
N22,N2,Mingus,115,8.846722667,660.1437411,pine,41.61580352
N23,N2,Mingus,2,8.846722667,660.1437411,pine,41.61580352
N24,N2,Mingus,30,8.846722667,660.1437411,pine,41.61580352
N25,N2,Mingus,249,8.846722667,660.1437411,pine,41.61580352
N31,N3,Mingus,194,8.633623815,662.3543784,pine,41.56598677
N32,N3,Mingus,210,8.633623815,662.3543784,pine,41.56598677
N33,N3,Mingus,47,8.633623815,662.3543784,pine,41.56598677
N34,N3,Mingus,61,8.633623815,662.3543784,pine,41.56598677
N35,N3,Mingus,84,8.633623815,662.3543784,pine,41.56598677
P11,P1,Pinaleno,193,9.212201894,689.0031923,pine-Doug fir,44.20454408
P12,P1,Pinaleno,413,9.212201894,689.0031923,pine-Doug fir,44.20454408
P13,P1,Pinaleno,437,9.212201894,689.0031923,pine-Doug fir,44.20454408
P14,P1,Pinaleno,515,9.212201894,689.0031923,pine-Doug fir,44.20454408
P15,P1,Pinaleno,329,9.212201894,689.0031923,pine-Doug fir,44.20454408
P21,P2,Pinaleno,83,9.212364955,707.127759,pine-Doug fir,44.89789319
P22,P2,Pinaleno,99,9.212364955,707.127759,pine-Doug fir,44.89789319
P23,P2,Pinaleno,85,9.212364955,707.127759,pine-Doug fir,44.89789319
P24,P2,Pinaleno,220,9.212364955,707.127759,pine-Doug fir,44.89789319
P25,P2,Pinaleno,82,9.212364955,707.127759,pine-Doug fir,44.89789319
P31,P3,Pinaleno,54,9.068933478,712.7599997,pine,44.27102289
P32,P3,Pinaleno,203,9.068933478,712.7599997,pine,44.27102289
P33,P3,Pinaleno,236,9.068933478,712.7599997,pine,44.27102289
P34,P3,Pinaleno,44,9.068933478,712.7599997,pine,44.27102289
P35,P3,Pinaleno,86,9.068933478,712.7599997,pine,44.27102289