Site,range,lat,long,masl,BIO1,BIO7,BIO12,BIO16,BIO17,forest,clim.pca,dist.closest.forest
C1,chiricahua,31.91445,-109.26942,2520,9.442872175,31.26301068,644.967728,319.9647776,51.9726592,pine,1.024347606,95.29621786
C2,chiricahua,31.90948,-109.2739,2515,9.300589515,30.90384584,655.7959168,324.7645952,53.0432896,pine,1.017252226,95.53016385
C3,chiricahua,31.9061,-109.27726,2565,9.184048078,30.5838028,665.1683584,328.9918976,54.0120448,pine-Doug fir,1.011059816,95.67591477
P1,pinaleno,32.62996,-109.82528,2405,9.212201894,30.39460051,689.0031923,311.5263974,54.4776,pine-Doug fir,0.943322207,44.20454408
P2,pinaleno,32.62231,-109.82328,2582,9.212364955,29.43149457,707.127759,320.1048406,55.79290368,pine-Doug fir,1.042174008,44.89789319
P3,pinaleno,32.62256,-109.83187,2622,9.068933478,29.44385499,712.7599997,322.469145,56.6872784,pine,0.993176471,44.27102289
M1,mogollon,34.51059,-111.3736,2135,8.138696004,37.55118083,652.3248944,232.4584,61.0760944,pine,-0.832335237,0
M2,mogollon,34.50509,-111.37089,2125,8.066597197,37.50015069,654.5696466,233.7784,61.00604656,pine,-0.824030702,0
M3,mogollon,34.50171,-111.36737,2117,8.074092669,37.58792467,655.5913189,233.5363566,61,pine,-0.81812802,0
M4,mogollon,34.39839,-111.49172,1841,11.20775658,35.78083812,654.4185082,224.1158541,59.4936,pine-oak,0.144156455,0
M5,mogollon,34.39512,-111.49005,1873,10.99534131,35.52365675,662.8252,228.1250064,59.8390064,pine-Doug fir,0.142749356,0
M6,mogollon,34.4048,-111.48508,1862,11.21597217,35.77376499,650.1569856,222.0024928,59.9460704,pine-Doug fir,0.071399384,0
M7,mogollon,35.11051,-112.024,2026,8.999242121,38.45098879,559.613088,192.8576,60.090744,pine,-1.41496379,0
M8,mogollon,35.11713,-112.02126,2004,9.051941924,38.76952512,557.1308467,191.4956,61.08275328,pine,-1.492787682,0
M9,mogollon,35.12448,-112.02145,2014,9.015847934,39.07920179,556.2820352,190.1988,61.5207824,pine,-1.551072807,0
B1,bradshaw,34.41944,-112.43228,2169,9.217311274,32.21681317,623.7916045,241.6878022,56.1672,pine-Doug fir,-0.235845409,42.10864773
B2,bradshaw,34.41424,-112.43309,2196,9.21611338,31.93765876,628.5602182,242.7269091,56.7912,pine-Doug fir,-0.241187501,42.58658841
B3,bradshaw,34.42161,-112.42845,2133,9.237270651,32.42859891,620.072076,240.8144152,55.9068,pine-Doug fir,-0.241643229,41.69292688
Butterfly trail,santa.catalina,32.42961,-110.73986,2370,10.61760631,29.81830677,734.0162573,321.1867949,52.36866624,pine-Doug fir,1.863189893,30.13963311
Sunset Trail,santa.catalina,32.42673,-110.74444,2352,10.30949642,29.27837781,751.2663213,329.4949821,54.05577856,pine,1.834793979,30.16750048
Upper Solders Camp Rd.,santa.catalina,32.42644,-110.73726,2421,10.49815186,29.5796078,741.6707738,325.0419635,52.92347008,pine-Doug fir,1.870599456,29.71175494
H1,huachuca,31.4533,-110.34657,2036,12.58816371,29.90639964,649.8687808,330.7955808,43.52,pine-Doug fir,2.694586445,54.78664003
H2,huachuca,31.453,-110.34447,2057,12.51848908,29.78958206,654.255312,332.528472,43.981392,pine-Doug fir,2.684015229,54.97644841
H3,huachuca,31.45207,-110.34219,2081,12.37364821,29.57723945,663.2688106,336.0048034,44.91240096,pine-Doug fir,2.662068565,55.21583786
N1,mingus,34.69761,-112.12102,2335,8.64789879,32.2988357,661.4616486,242,62.79157568,pine,-0.643762082,42.10864773
N2,mingus,34.69063,-112.11984,2308,8.846722667,32.59809506,660.1437411,240.8521994,64.08482848,pine,-0.688271624,41.61580352
N3,mingus,34.69547,-112.12695,2330,8.633623815,32.55756091,662.3543784,241.9359952,63.0551976,pine,-0.661542117,41.56598677
A1,flagstaff,35.29949,-111.71662,2526,5.565355803,36.74511985,588.3400864,208.5542573,63.53825728,pine,-2.383900756,13.75629271
A2,flagstaff,35.2943,-111.70551,2435,5.792731957,36.98893176,578.7148608,204.5142784,63.1849216,pine,-2.384407788,13.90716685
A3,flagstaff,35.29427,-111.69573,2506,5.635360343,36.277913,587.5828426,207.9317475,63.64727376,pine,-2.380181273,14.48761276
H4,hualapai,35.0749,-113.88039,2073,10.12626631,29.80816945,448.0310528,159.092192,46.0240384,pine,-1.083716727,89.11687861
H5,hualapai,35.07676,-113.88466,2122,9.85992612,29.07390176,464.0723917,163.6401152,47.73522304,pine-oak,-1.1456423,89.54804584
H6,hualapai,35.07198,-113.87254,1994,10.58832322,30.65414183,424.7353805,152.3241805,43.58621952,pine-oak,-0.975472049,88.33973806