"Site","Range","dist.cont.average","dist.closest.sampled","dist.closest.forest","dist.est","prec","Tavg","forest.type","BIO1","BIO12","BIO16","BIO17","env.pca","clim.pca","lat","Otu1","Otu10","Otu100","Otu101","Otu102","Otu103","Otu104","Otu105","Otu106","Otu107","Otu108","Otu109","Otu11","Otu110","Otu111","Otu112","Otu113","Otu114","Otu115","Otu116","Otu117","Otu118","Otu119","Otu12","Otu120","Otu121","Otu122","Otu123","Otu124","Otu125","Otu126","Otu127","Otu128","Otu129","Otu13","Otu130","Otu131","Otu132","Otu133","Otu134","Otu135","Otu136","Otu137","Otu138","Otu139","Otu14","Otu140","Otu141","Otu142","Otu143","Otu144","Otu145","Otu146","Otu147","Otu148","Otu149","Otu15","Otu150","Otu151","Otu152","Otu153","Otu154","Otu155","Otu156","Otu157","Otu158","Otu159","Otu16","Otu160","Otu161","Otu162","Otu163","Otu164","Otu165","Otu166","Otu167","Otu168","Otu169","Otu17","Otu170","Otu171","Otu172","Otu173","Otu174","Otu175","Otu176","Otu177","Otu178","Otu179","Otu18","Otu180","Otu181","Otu182","Otu183","Otu184","Otu185","Otu186","Otu187","Otu188","Otu189","Otu19","Otu190","Otu191","Otu192","Otu193","Otu194","Otu195","Otu196","Otu197","Otu198","Otu199","Otu2","Otu20","Otu200","Otu201","Otu202","Otu203","Otu204","Otu205","Otu206","Otu207","Otu208","Otu209","Otu21","Otu210","Otu211","Otu212","Otu213","Otu214","Otu215","Otu216","Otu217","Otu218","Otu219","Otu22","Otu220","Otu221","Otu222","Otu223","Otu224","Otu225","Otu226","Otu227","Otu228","Otu229","Otu23","Otu230","Otu231","Otu232","Otu234","Otu235","Otu236","Otu237","Otu238","Otu239","Otu24","Otu240","Otu241","Otu242","Otu243","Otu244","Otu245","Otu246","Otu247","Otu248","Otu249","Otu25","Otu250","Otu251","Otu252","Otu253","Otu254","Otu259","Otu26","Otu261","Otu264","Otu265","Otu266","Otu267","Otu268","Otu269","Otu27","Otu270","Otu271","Otu272","Otu273","Otu274","Otu275","Otu276","Otu277","Otu278","Otu279","Otu28","Otu289","Otu29","Otu3","Otu30","Otu300","Otu301","Otu302","Otu303","Otu304","Otu31","Otu310","Otu313","Otu314","Otu315","Otu316","Otu32","Otu33","Otu34","Otu35","Otu36","Otu37","Otu38","Otu39","Otu4","Otu40","Otu41","Otu42","Otu43","Otu44","Otu45","Otu46","Otu47","Otu48","Otu49","Otu5","Otu50","Otu51","Otu52","Otu53","Otu54","Otu55","Otu56","Otu58","Otu59","Otu6","Otu60","Otu61","Otu62","Otu63","Otu64","Otu65","Otu66","Otu67","Otu68","Otu69","Otu7","Otu70","Otu71","Otu72","Otu73","Otu74","Otu75","Otu76","Otu77","Otu78","Otu79","Otu8","Otu80","Otu81","Otu82","Otu83","Otu84","Otu85","Otu86","Otu87","Otu88","Otu89","Otu9","Otu90","Otu91","Otu92","Otu93","Otu94","Otu95","Otu96","Otu97","Otu98","Otu99"
"A1","Flagstaff",76.87261012,34.97,13.75629271,15,49.02834053,5.567083319,"pine",5.565355803,588.3400864,208.5542573,63.53825728,2.716705992,-2.383900756,35.29949,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A2","Flagstaff",76.48257323,35.25,13.90716685,15,48.2262384,5.784847936,"pine",5.792731957,578.7148608,204.5142784,63.1849216,2.661008827,-2.384407788,35.2943,65,32,0,0,0,0,0,0,0,0,0,0,304,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0
"A3","Flagstaff",76.57089521,36.18,14.48761276,15,48.96523688,5.646067795,"pine",5.635360343,587.5828426,207.9317475,63.64727376,2.707973568,-2.380181273,35.29427,0,7,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B1","Bradshaw",89.87274476,42.05,42.10864773,40,51.98263371,9.217893718,"pine-Doug fir",9.217311274,623.7916045,241.6878022,56.1672,-0.095935495,-0.235845409,34.41944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,28,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,71,0,11,0,40,0,0,0,0,0,33,0,0,0,0,0,28,39,86,37,14,10,40,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
"B2","Bradshaw",90.12469198,42.53,42.58658841,40,52.38001819,9.211840442,"pine-Doug fir",9.21611338,628.5602182,242.7269091,56.7912,-0.062602382,-0.241187501,34.41424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,88,9,5,40,19,9,10,10,41,0,28,74,32,31,8,39,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"B3","Bradshaw",89.50882703,41.63,41.69292688,40,51.672673,9.23139266,"pine-Doug fir",9.237270651,620.072076,240.8144152,55.9068,-0.109260227,-0.241643229,34.42161,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,30,30,7,145,36,13,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Butterfly trail","MtLemmon",NA,NA,30.13963311,30,NA,NA,"pine-Doug fir",10.61760631,734.0162573,321.1867949,52.36866624,-1.694840522,1.863189893,32.42961,14,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,12,0,55,0,25,106,7,52,14,0,75,2,4,4,4,8,189,14,7,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,51,0,0,0,0,32,3,0,7,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,34,30,0,0,0,70,0,0,0,0,14,0,0,0,0,0,0,94,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"C1","Chiricahuas",377.5575315,95.07,95.29621786,100,53.74731067,9.432704454,"pine",9.442872175,644.967728,319.9647776,51.9726592,-0.452995822,1.024347606,31.91445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,31,0,7,3,16,95,80,81,1,6,51,81,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C2","Chiricahuas",377.7694222,95.3,95.53016385,100,54.64965973,9.301822167,"pine",9.300589515,655.7959168,324.7645952,53.0432896,-0.375004451,1.017252226,31.90948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,6,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,5,0,0,0,0,0,0,0,5,0,0,0,0,30,0,0,12,0,0,74,0,46,20,1,19,39,23,12,5,2,0,31,4,7,4,0,0,0,0,0,0
"C3","Chiricahuas",377.8973058,95.44,95.67591477,100,55.43069653,9.197427816,"pine-Doug fir",9.184048078,665.1683584,328.9918976,54.0120448,-0.9557563,1.011059816,31.9061,13,0,15,47,6,20,40,16,76,11,14,3,0,10,3,27,38,3,5,53,4,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,27,0,0,0,0,15,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,32,0,0,27,0,0,0,14,0,0,0,0,0,0,0,0,5,137,229,0,38,0,0,6,0,96,6,82,2,2,6
"H1","Huachuas",378.1461492,114.22,54.78664003,60,54.15573173,12.58740681,"pine-Doug fir",12.58816371,649.8687808,330.7955808,43.52,-2.956889952,2.694586445,31.4533,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,17,4,46,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"H2","Huachuas",378.239254,114.05,54.97644841,60,54.521276,12.51908015,"pine-Doug fir",12.51848908,654.255312,332.528472,43.981392,-2.917476757,2.684015229,31.453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,19,47,0,74,18,49,142,136,5,42,18,13,10,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
"H3","Huachuas",378.404379,113.91,55.21583786,60,55.27240088,12.37267985,"pine-Doug fir",12.37364821,663.2688106,336.0048034,44.91240096,-2.836760329,2.662068565,31.45207,0,0,0,0,0,0,30,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,11,0,0,0,0,0,0,0,0,97,0,0,0,0,0,21,18,0,0,0,70,4,120,10,4,1,27,9,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0
"H4","Hualapai",212.6214926,151.23,89.11687861,90,37.33592107,10.13350427,"pine",10.12626631,448.0310528,159.092192,46.0240384,0.393978163,-1.083716727,35.0749,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,78,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,34,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
