site1,site2,jaccard.dissimilarity,env,clim,spatial.site,range.1,range.2,comp.range
B1,B1,0,0,0,0,Bradshaw,Bradshaw,Same
B2,B1,0.583289543,0.024816,0.005342092,0.581622135,Bradshaw,Bradshaw,Same
B3,B1,0.745076586,0.00529482,0.00579782,0.426504336,Bradshaw,Bradshaw,Same
C1,B1,0.959216966,0.690693859,1.260193015,405.1969864,Chiricahua,Bradshaw,Different
C2,B1,0.94624332,0.640002553,1.253097635,405.2772202,Chiricahua,Bradshaw,Different
C3,B1,0.753267974,1.336034961,1.246905225,405.3112247,Chiricahua,Bradshaw,Different
H1,B1,0.892838743,3.536605139,2.930431854,382.4106241,Huachuca,Bradshaw,Different
H2,B1,0.892493049,3.506626444,2.919860638,382.5395477,Huachuca,Bradshaw,Different
H3,B1,0.884043408,3.445003034,2.897913974,382.737529,Huachuca,Bradshaw,Different
M1,B1,0.936576061,1.574696971,0.596489828,97.79341774,MogollonRim,Bradshaw,Different
M2,B1,0.902806653,1.571207258,0.588185293,97.9832143,MogollonRim,Bradshaw,Different
M3,B1,0.990757856,1.566040831,0.582282611,98.27154759,MogollonRim,Bradshaw,Different
N1,B1,0.996099844,1.391213867,0.407916673,42.05045688,Mingus,Bradshaw,Different
N2,B1,0.995185695,1.451876236,0.452426215,41.56103653,Mingus,Bradshaw,Different
N3,B1,0.992857143,1.417428334,0.425696708,41.50746022,Mingus,Bradshaw,Different
P1,B1,0.839224138,1.214097286,1.179167616,313.0985586,Pinaleno,Bradshaw,Different
P2,B1,0.906327853,1.269192845,1.278019417,313.7885735,Pinaleno,Bradshaw,Different
Sunset Trail,B1,0.95,1.400878411,2.070639388,271.078156,Santa.Catalina,Bradshaw,Different
Upper Solders Camp Rd.,B1,0.965733866,2.224452489,2.106444865,271.491624,Santa.Catalina,Bradshaw,Different
B1,B2,0.583289543,0.024816,0.005342092,0.581622135,Bradshaw,Bradshaw,Same
B2,B2,0,0,0,0,Bradshaw,Bradshaw,Same
B3,B2,0.831309042,0.03011082,0.000455728,0.922140499,Bradshaw,Bradshaw,Same
C1,B2,0.956565657,0.715509859,1.265535107,404.8632515,Chiricahua,Bradshaw,Different
C2,B2,0.956918688,0.664818552,1.258439727,404.9426732,Chiricahua,Bradshaw,Different
C3,B2,0.76528777,1.36085096,1.252247317,404.9761018,Chiricahua,Bradshaw,Different
H1,B2,0.95693563,3.561421139,2.935773946,381.9562136,Huachuca,Bradshaw,Different
H2,B2,0.939170758,3.531442444,2.92520273,382.0852854,Huachuca,Bradshaw,Different
H3,B2,0.924729209,3.469819034,2.903256066,382.2833955,Huachuca,Bradshaw,Different
M1,B2,0.937526205,1.549880971,0.591147736,97.93171431,MogollonRim,Bradshaw,Different
M2,B2,0.939859526,1.546391258,0.582843201,98.11786558,MogollonRim,Bradshaw,Different
M3,B2,0.99221588,1.541224832,0.576940519,98.40387396,MogollonRim,Bradshaw,Different
N1,B2,0.991761724,1.366397867,0.402574581,42.52619521,Mingus,Bradshaw,Different
N2,B2,0.99886557,1.427060237,0.447084123,42.03188836,Mingus,Bradshaw,Different
N3,B2,0.991142604,1.392612334,0.420354616,41.98510455,Mingus,Bradshaw,Different
P1,B2,0.87373168,1.238913286,1.184509708,312.7971865,Pinaleno,Bradshaw,Different
P2,B2,0.898633759,1.294008844,1.283361509,313.4863621,Pinaleno,Bradshaw,Different
Sunset Trail,B2,0.952560241,1.42569441,2.07598148,270.6545237,Santa.Catalina,Bradshaw,Different
Upper Solders Camp Rd.,B2,0.972303207,2.249268489,2.111786957,271.0687787,Santa.Catalina,Bradshaw,Different
B1,B3,0.745076586,0.00529482,0.00579782,0.426504336,Bradshaw,Bradshaw,Same
B2,B3,0.831309042,0.03011082,0.000455728,0.922140499,Bradshaw,Bradshaw,Same
B3,B3,0,0,0,0,Bradshaw,Bradshaw,Same
C1,B3,0.963601,0.685399039,1.265990835,405.0995654,Chiricahua,Bradshaw,Different
C2,B3,0.935905821,0.634707732,1.258895455,405.1805074,Chiricahua,Bradshaw,Different
C3,B3,0.854898336,1.330740141,1.252703045,405.2150148,Chiricahua,Bradshaw,Different
H1,B3,0.899371069,3.531310319,2.936229674,382.4340945,Huachuca,Bradshaw,Different
H2,B3,0.860084995,3.501331624,2.925658458,382.5628442,Huachuca,Bradshaw,Different
H3,B3,0.872700971,3.439708214,2.903711794,382.7606743,Huachuca,Bradshaw,Different
M1,B3,0.80359147,1.579991791,0.590692008,97.41749076,MogollonRim,Bradshaw,Different
M2,B3,0.880422692,1.576502078,0.582387473,97.60859591,MogollonRim,Bradshaw,Different
M3,B3,0.92906815,1.571335651,0.576484791,97.8977695,MogollonRim,Bradshaw,Different
N1,B3,0.95334507,1.396508687,0.402118853,41.63488539,Mingus,Bradshaw,Different
N2,B3,0.970543807,1.457171056,0.446628395,41.14410449,Mingus,Bradshaw,Different
N3,B3,0.957198444,1.422723154,0.419898888,41.09244676,Mingus,Bradshaw,Different
P1,B3,0.787949556,1.208802466,1.184965436,312.9739251,Pinaleno,Bradshaw,Different
P2,B3,0.903242678,1.263898024,1.283817237,313.6646271,Pinaleno,Bradshaw,Different
Sunset Trail,B3,0.86935867,1.395583591,2.076437208,271.0673931,Santa.Catalina,Bradshaw,Different
Upper Solders Camp Rd.,B3,0.961188599,2.219157669,2.112242685,271.4800196,Santa.Catalina,Bradshaw,Different
B1,C1,0.959216966,0.690693859,1.260193015,405.1969864,Bradshaw,Chiricahua,Different
B2,C1,0.956565657,0.715509859,1.265535107,404.8632515,Bradshaw,Chiricahua,Different
B3,C1,0.963601,0.685399039,1.265990835,405.0995654,Bradshaw,Chiricahua,Different
C1,C1,0,0,0,0,Chiricahua,Chiricahua,Same
C2,C1,0.715665236,0.050691307,0.00709538,0.695169655,Chiricahua,Chiricahua,Same
C3,C1,0.843646774,0.645341101,0.01328779,1.186240752,Chiricahua,Chiricahua,Same
H1,C1,0.973137536,2.84591128,1.670238839,114.2151545,Huachuca,Chiricahua,Different
H2,C1,0.89038674,2.815932585,1.659667623,114.052212,Huachuca,Chiricahua,Different
H3,C1,0.971600942,2.754309175,1.637720959,113.9058776,Huachuca,Chiricahua,Different
M1,C1,0.96499153,2.26539083,1.856682843,348.384662,MogollonRim,Chiricahua,Different
M2,C1,0.899813896,2.261901117,1.848378308,347.7417795,MogollonRim,Chiricahua,Different
M3,C1,0.978058511,2.256734691,1.842475626,347.2493415,MogollonRim,Chiricahua,Different
N1,C1,1,2.081907726,1.668109688,407.152692,Mingus,Chiricahua,Different
N2,C1,0.999654696,2.142570096,1.71261923,406.5013279,Mingus,Chiricahua,Different
N3,C1,0.98992891,2.108122193,1.685889723,407.3353006,Mingus,Chiricahua,Different
P1,C1,0.931418219,0.523403427,0.081025399,95.06799861,Pinaleno,Chiricahua,Different
P2,C1,0.944476744,0.578498985,0.017826402,94.25788566,Pinaleno,Chiricahua,Different
Sunset Trail,C1,0.983112497,0.710184551,0.810446373,150.269586,Santa.Catalina,Chiricahua,Different
Upper Solders Camp Rd.,C1,0.892564802,1.53375863,0.84625185,149.6308747,Santa.Catalina,Chiricahua,Different
B1,C2,0.94624332,0.640002553,1.253097635,405.2772202,Bradshaw,Chiricahua,Different
B2,C2,0.956918688,0.664818552,1.258439727,404.9426732,Bradshaw,Chiricahua,Different
B3,C2,0.935905821,0.634707732,1.258895455,405.1805074,Bradshaw,Chiricahua,Different
C1,C2,0.715665236,0.050691307,0.00709538,0.695169655,Chiricahua,Chiricahua,Same
C2,C2,0,0,0,0,Chiricahua,Chiricahua,Same
C3,C2,0.802357662,0.696032408,0.00619241,0.491400997,Chiricahua,Chiricahua,Same
H1,C2,0.967602592,2.896602586,1.677334219,113.5914507,Huachuca,Chiricahua,Different
H2,C2,0.913199426,2.866623892,1.666763003,113.4281855,Huachuca,Chiricahua,Different
H3,C2,0.976265325,2.805000482,1.644816339,113.2813398,Huachuca,Chiricahua,Different
M1,C2,0.939142002,2.214699524,1.849587463,348.6087055,MogollonRim,Chiricahua,Different
M2,C2,0.790468688,2.21120981,1.841282928,347.9655508,MogollonRim,Chiricahua,Different
M3,C2,0.959967974,2.206043384,1.835380246,347.4732101,MogollonRim,Chiricahua,Different
N1,C2,0.964038728,2.031216419,1.661014308,407.3038473,Mingus,Chiricahua,Different
N2,C2,0.983627204,2.091878789,1.70552385,406.6517625,Mingus,Chiricahua,Different
N3,C2,0.931147541,2.057430886,1.678794343,407.4855151,Mingus,Chiricahua,Different
P1,C2,0.878759975,0.574094733,0.073930019,95.29847505,Pinaleno,Chiricahua,Different
P2,C2,0.91131815,0.629190292,0.024921782,94.48620648,Pinaleno,Chiricahua,Different
Sunset Trail,C2,0.925960637,0.760875858,0.817541753,150.0917002,Santa.Catalina,Chiricahua,Different
Upper Solders Camp Rd.,C2,0.90170432,1.584449937,0.85334723,149.4539893,Santa.Catalina,Chiricahua,Different
B1,C3,0.753267974,1.336034961,1.246905225,405.3112247,Bradshaw,Chiricahua,Different
B2,C3,0.76528777,1.36085096,1.252247317,404.9761018,Bradshaw,Chiricahua,Different
B3,C3,0.854898336,1.330740141,1.252703045,405.2150148,Bradshaw,Chiricahua,Different
C1,C3,0.843646774,0.645341101,0.01328779,1.186240752,Chiricahua,Chiricahua,Same
C2,C3,0.802357662,0.696032408,0.00619241,0.491400997,Chiricahua,Chiricahua,Same
C3,C3,0,0,0,0,Chiricahua,Chiricahua,Same
H1,C3,0.949118295,2.200570178,1.683526629,113.1411217,Huachuca,Chiricahua,Different
H2,C3,0.918124865,2.170591484,1.672955413,112.9776494,Huachuca,Chiricahua,Different
H3,C3,0.929897224,2.108968073,1.651008749,112.8304753,Huachuca,Chiricahua,Different
M1,C3,0.908900836,2.910731932,1.843395053,348.7453985,MogollonRim,Chiricahua,Different
M2,C3,0.840931453,2.907242219,1.835090518,348.1020502,MogollonRim,Chiricahua,Different
M3,C3,0.974539363,2.902075792,1.829187836,347.6097803,MogollonRim,Chiricahua,Different
N1,C3,0.970364742,2.727248827,1.654821898,407.3883097,Mingus,Chiricahua,Different
N2,C3,0.98629174,2.787911197,1.69933144,406.7357119,Mingus,Chiricahua,Different
N3,C3,0.933103015,2.753463295,1.672601933,407.5693063,Mingus,Chiricahua,Different
P1,C3,0.878168438,0.121937675,0.067737609,95.44180043,Pinaleno,Chiricahua,Different
P2,C3,0.921288014,0.066842116,0.031114192,94.62801401,Pinaleno,Chiricahua,Different
Sunset Trail,C3,0.902054602,0.06484345,0.823734163,149.9451483,Santa.Catalina,Chiricahua,Different
Upper Solders Camp Rd.,C3,0.958118557,0.888417529,0.85953964,149.3081442,Santa.Catalina,Chiricahua,Different
B1,H1,0.892838743,3.536605139,2.930431854,382.4106241,Bradshaw,Huachuca,Different
B2,H1,0.95693563,3.561421139,2.935773946,381.9562136,Bradshaw,Huachuca,Different
B3,H1,0.899371069,3.531310319,2.936229674,382.4340945,Bradshaw,Huachuca,Different
C1,H1,0.973137536,2.84591128,1.670238839,114.2151545,Chiricahua,Huachuca,Different
C2,H1,0.967602592,2.896602586,1.677334219,113.5914507,Chiricahua,Huachuca,Different
C3,H1,0.949118295,2.200570178,1.683526629,113.1411217,Chiricahua,Huachuca,Different
H1,H1,0,0,0,0,Huachuca,Huachuca,Same
H2,H1,0.757411179,0.029978695,0.010571216,0.202356889,Huachuca,Huachuca,Same
H3,H1,0.699843124,0.091602105,0.03251788,0.438088151,Huachuca,Huachuca,Same
M1,H1,0.89352595,5.11130211,3.526921682,352.3872797,MogollonRim,Huachuca,Different
M2,H1,0.963622291,5.107812397,3.518617147,351.7320923,MogollonRim,Huachuca,Different
M3,H1,0.996602492,5.10264597,3.512714465,351.2823508,MogollonRim,Huachuca,Different
N1,H1,0.995596099,4.927819005,3.338348527,396.10643,Mingus,Huachuca,Different
N2,H1,0.999108205,4.988481375,3.382858069,395.3598875,Mingus,Huachuca,Different
N3,H1,0.997675019,4.954033473,3.356128562,396.1235682,Mingus,Huachuca,Different
P1,H1,0.850537366,2.322507853,1.751264238,139.4569265,Pinaleno,Huachuca,Different
P2,H1,0.964916709,2.267412294,1.652412437,138.7314322,Pinaleno,Huachuca,Different
Sunset Trail,H1,0.941829592,2.135726728,0.859792466,114.3073315,Santa.Catalina,Huachuca,Different
Upper Solders Camp Rd.,H1,0.980246914,1.31215265,0.823986989,114.0552994,Santa.Catalina,Huachuca,Different
B1,H2,0.892493049,3.506626444,2.919860638,382.5395477,Bradshaw,Huachuca,Different
B2,H2,0.939170758,3.531442444,2.92520273,382.0852854,Bradshaw,Huachuca,Different
B3,H2,0.860084995,3.501331624,2.925658458,382.5628442,Bradshaw,Huachuca,Different
C1,H2,0.89038674,2.815932585,1.659667623,114.052212,Chiricahua,Huachuca,Different
C2,H2,0.913199426,2.866623892,1.666763003,113.4281855,Chiricahua,Huachuca,Different
C3,H2,0.918124865,2.170591484,1.672955413,112.9776494,Chiricahua,Huachuca,Different
H1,H2,0.757411179,0.029978695,0.010571216,0.202356889,Huachuca,Huachuca,Same
H2,H2,0,0,0,0,Huachuca,Huachuca,Same
H3,H2,0.743059437,0.06162341,0.021946664,0.239996078,Huachuca,Huachuca,Same
M1,H2,0.856713427,5.081323415,3.516350466,352.4728194,MogollonRim,Huachuca,Different
M2,H2,0.945756222,5.077833702,3.508045931,351.8175955,MogollonRim,Huachuca,Different
M3,H2,0.991449947,5.072667276,3.502143249,351.3677461,MogollonRim,Huachuca,Different
N1,H2,1,4.897840311,3.327777311,396.2187596,Mingus,Huachuca,Different
N2,H2,0.999623068,4.958502681,3.372286853,395.4723161,Mingus,Huachuca,Different
N3,H2,0.991722381,4.924054778,3.345557346,396.2361496,Mingus,Huachuca,Different
P1,H2,0.807243708,2.292529158,1.740693022,139.4181937,Pinaleno,Huachuca,Different
P2,H2,0.935929648,2.2374336,1.641841221,138.6920174,Pinaleno,Huachuca,Different
Sunset Trail,H2,0.929425488,2.105748033,0.84922125,114.4042454,Santa.Catalina,Huachuca,Different
Upper Solders Camp Rd.,H2,0.954403063,1.282173955,0.813415773,114.1512365,Santa.Catalina,Huachuca,Different
B1,H3,0.884043408,3.445003034,2.897913974,382.737529,Bradshaw,Huachuca,Different
B2,H3,0.924729209,3.469819034,2.903256066,382.2833955,Bradshaw,Huachuca,Different
B3,H3,0.872700971,3.439708214,2.903711794,382.7606743,Bradshaw,Huachuca,Different
C1,H3,0.971600942,2.754309175,1.637720959,113.9058776,Chiricahua,Huachuca,Different
C2,H3,0.976265325,2.805000482,1.644816339,113.2813398,Chiricahua,Huachuca,Different
C3,H3,0.929897224,2.108968073,1.651008749,112.8304753,Chiricahua,Huachuca,Different
H1,H3,0.699843124,0.091602105,0.03251788,0.438088151,Huachuca,Huachuca,Same
H2,H3,0.743059437,0.06162341,0.021946664,0.239996078,Huachuca,Huachuca,Same
H3,H3,0,0,0,0,Huachuca,Huachuca,Same
M1,H3,0.914418043,5.019700005,3.494403802,352.630332,MogollonRim,Huachuca,Different
M2,H3,0.972720187,5.016210292,3.486099267,351.9750722,MogollonRim,Huachuca,Different
M3,H3,0.996025105,5.011043865,3.480196585,351.5251164,MogollonRim,Huachuca,Different
N1,H3,1,4.836216901,3.305830647,396.4018644,Mingus,Huachuca,Different
N2,H3,0.999783597,4.896879271,3.350340189,395.6555121,Mingus,Huachuca,Different
N3,H3,0.995500782,4.862431368,3.323610682,396.4194864,Mingus,Huachuca,Different
P1,H3,0.855522972,2.230905748,1.718746358,139.4392709,Pinaleno,Huachuca,Different
P2,H3,0.962015504,2.17581019,1.619894557,138.7122754,Pinaleno,Huachuca,Different
Sunset Trail,H3,0.942026266,2.044124623,0.827274586,114.5730154,Santa.Catalina,Huachuca,Different
Upper Solders Camp Rd.,H3,0.983231084,1.220550545,0.791469109,114.3190688,Santa.Catalina,Huachuca,Different
B1,M1,0.936576061,1.574696971,0.596489828,97.79341774,Bradshaw,MogollonRim,Different
B2,M1,0.937526205,1.549880971,0.591147736,97.93171431,Bradshaw,MogollonRim,Different
B3,M1,0.80359147,1.579991791,0.590692008,97.41749076,Bradshaw,MogollonRim,Different
C1,M1,0.96499153,2.26539083,1.856682843,348.384662,Chiricahua,MogollonRim,Different
C2,M1,0.939142002,2.214699524,1.849587463,348.6087055,Chiricahua,MogollonRim,Different
C3,M1,0.908900836,2.910731932,1.843395053,348.7453985,Chiricahua,MogollonRim,Different
H1,M1,0.89352595,5.11130211,3.526921682,352.3872797,Huachuca,MogollonRim,Different
H2,M1,0.856713427,5.081323415,3.516350466,352.4728194,Huachuca,MogollonRim,Different
H3,M1,0.914418043,5.019700005,3.494403802,352.630332,Huachuca,MogollonRim,Different
M1,M1,0,0,0,0,MogollonRim,MogollonRim,Same
M2,M1,0.911173184,0.003489713,0.008304535,0.658926256,MogollonRim,MogollonRim,Same
M3,M1,0.943450251,0.00865614,0.014207217,1.139161913,MogollonRim,MogollonRim,Same
N1,M1,0.950559701,0.183483105,0.188573155,71.62779325,Mingus,MogollonRim,Different
